seq,super,entries
ENSG00000002746___HECW1_HUMAN__1,AFR,23
ENSG00000002746___HECW1_HUMAN__1,AMR,67
ENSG00000002746___HECW1_HUMAN__1,EAS,232
ENSG00000002746___HECW1_HUMAN__1,EUR,152
ENSG00000002746___HECW1_HUMAN__1,SAS,108
ENSG00000002746___HECW1_HUMAN__10,EUR,3
ENSG00000002746___HECW1_HUMAN__10,SAS,1
ENSG00000002746___HECW1_HUMAN__100,AFR,2
ENSG00000002746___HECW1_HUMAN__101,AFR,1
ENSG00000002746___HECW1_HUMAN__102,AFR,1
ENSG00000002746___HECW1_HUMAN__103,SAS,3
ENSG00000002746___HECW1_HUMAN__104,AFR,2
ENSG00000002746___HECW1_HUMAN__105,AFR,2
ENSG00000002746___HECW1_HUMAN__106,AFR,1
ENSG00000002746___HECW1_HUMAN__107,SAS,1
ENSG00000002746___HECW1_HUMAN__108,AFR,3
ENSG00000002746___HECW1_HUMAN__109,AFR,4
ENSG00000002746___HECW1_HUMAN__11,EUR,1
ENSG00000002746___HECW1_HUMAN__110,AFR,5
ENSG00000002746___HECW1_HUMAN__111,SAS,4
ENSG00000002746___HECW1_HUMAN__112,AFR,2
ENSG00000002746___HECW1_HUMAN__113,SAS,2
ENSG00000002746___HECW1_HUMAN__114,SAS,10
ENSG00000002746___HECW1_HUMAN__115,AFR,1
ENSG00000002746___HECW1_HUMAN__116,AFR,1
ENSG00000002746___HECW1_HUMAN__117,AFR,12
ENSG00000002746___HECW1_HUMAN__118,SAS,9
ENSG00000002746___HECW1_HUMAN__119,AFR,1
ENSG00000002746___HECW1_HUMAN__12,EUR,1
ENSG00000002746___HECW1_HUMAN__120,AFR,1
ENSG00000002746___HECW1_HUMAN__121,AFR,1
ENSG00000002746___HECW1_HUMAN__122,AFR,1
ENSG00000002746___HECW1_HUMAN__123,AFR,7
ENSG00000002746___HECW1_HUMAN__124,AFR,4
ENSG00000002746___HECW1_HUMAN__125,AFR,2
ENSG00000002746___HECW1_HUMAN__126,AFR,1
ENSG00000002746___HECW1_HUMAN__127,AFR,1
ENSG00000002746___HECW1_HUMAN__128,AFR,3
ENSG00000002746___HECW1_HUMAN__129,SAS,1
ENSG00000002746___HECW1_HUMAN__13,EUR,2
ENSG00000002746___HECW1_HUMAN__130,AFR,2
ENSG00000002746___HECW1_HUMAN__131,AFR,1
